Symbol,Date,Open,High,Low,Close,Volume
TGSEF.OB,02-Jul-2021,0.1049,0.1049,0.1049,0.1049,200
TGSGY.OB,02-Jul-2021,12.46,12.46,12.46,12.46,100
THBRF.OB,02-Jul-2021,3.36,3.73,3.36,3.65,56600
THCBF.OB,02-Jul-2021,0.097,0.1049,0.097,0.1008,7000
THCT.OB,02-Jul-2021,0.088,0.0889,0.0848,0.085,122500
THDS.OB,02-Jul-2021,0.3926,0.43,0.3926,0.4225,1800
THKLY.OB,02-Jul-2021,14.79,15.06,14.78,14.88,11200
THLLY.OB,02-Jul-2021,20.565,20.64,20.46,20.64,4100
THMG.OB,02-Jul-2021,0.1315,0.1401,0.125,0.1401,16300
THNPY.OB,02-Jul-2021,13.87,13.87,13.69,13.73,40400
THRBF.OB,02-Jul-2021,0.2874,0.2874,0.2703,0.28,6300
THRR.OB,02-Jul-2021,0.0011,0.0012,0.0011,0.0011,2459000
THST.OB,02-Jul-2021,0.85,0.85,0.85,0.85,2100
THUPY.OB,02-Jul-2021,22.78,23.299,22.78,22.825,1600
THVB.OB,02-Jul-2021,68,68,68,68,200
TIAIY.OB,02-Jul-2021,5.285,5.3,5.27,5.27,14700
TIDE.OB,02-Jul-2021,0.0004,0.0004,0.0001,0.0001,500000
TIGCF.OB,02-Jul-2021,0.1643,0.1643,0.1583,0.1583,3900
TIGE.OB,02-Jul-2021,0.084,0.084,0.084,0.084,700
TIIAY.OB,02-Jul-2021,5.0475,5.1,5.0475,5.07,26800
TIKK.OB,02-Jul-2021,3.4265,3.4265,3.4265,3.4265,100
TILCF.OB,02-Jul-2021,7,7.01,6.6891,7,1800
TIMCF.OB,02-Jul-2021,0.2019,0.2027,0.1999,0.2027,29000
TINO.OB,02-Jul-2021,0.0116,0.0132,0.0111,0.0123,1411600
TISCY.OB,02-Jul-2021,7.96,7.96,7.96,7.96,1800
TISDZ.OB,02-Jul-2021,0.0025,0.0025,0.0025,0.0025,45000
TISNF.OB,02-Jul-2021,25.9,25.9,25.9,25.9,1300
TITUF.OB,02-Jul-2021,0.4119,0.42,0.4119,0.42,600
TIZAF.OB,02-Jul-2021,0.98,0.98,0.98,0.98,2000
TKAGY.OB,02-Jul-2021,17.5,17.5,16.95,16.95,700
TKAMY.OB,02-Jul-2021,10.735,10.76,10.58,10.6905,28900
TKGBY.OB,02-Jul-2021,1.04,1.04,0.97,0.97,5700
TKGSY.OB,02-Jul-2021,9.38,9.423,9.38,9.4,1600
TKLS.OB,02-Jul-2021,0.15,0.15,0.15,0.15,3200
TKOI.OB,02-Jul-2021,0.0373,0.043,0.0373,0.0376,83500
TKOMY.OB,02-Jul-2021,44.951,46.61,44.951,46.18,29200
TKPHF.OB,02-Jul-2021,33,33,33,33,47600
TKRFF.OB,02-Jul-2021,0.1784,0.1785,0.1706,0.1785,9000
TKSTF.OB,02-Jul-2021,0.0686,0.0686,0.0602,0.0668,8700
