Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
SENS,Senseonics Holdings Inc. Common Stock,$4.01,0.39,10.773%,1716569506.00,United States,,175249325,Health Care,Medical Specialities
SIF,SIFCO Industries Inc. Common Stock,$9.54,0.105,1.113%,57136291.00,United States,,8075,Capital Goods,Office Equipment/Supplies/Services
SILV,SilverCrest Metals Inc. Common Shares,$10.13,-0.18,-1.746%,1463359175.00,,2018,554822,Capital Goods,Industrial Machinery/Components
SIM,Grupo Simec S.A.B. de C.V. American Depositary Shares,$25.2101,0.6201,2.522%,3888905589.00,Mexico,1993,3393,Basic Industries,Steel/Iron Ore
SMTS,Sierra Metals Inc. Common Stock,$3.32,0.07,2.154%,542581458.00,,,233770,Basic Industries,Precious Metals
SNMP,Evolve Transition Infrastructure LP Common Stock,$0.8105,0.0245,3.117%,45538249.00,United States,,1600086,Energy,Oil & Gas Production
SSY,SunLink Health Systems Inc. Common Stock,$2.96,-0.13,-4.207%,20483357.00,United States,,508704,Health Care,Medical/Nursing Services
STXS,Stereotaxis Inc. Common Stock,$8.35,0.04,0.481%,618851641.00,United States,,315424,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
SVM,Silvercorp Metals Inc. Common Shares,$6.34,-0.10,-1.553%,1115093211.00,,,635278,Basic Industries,Precious Metals
SVT,Servotronics Inc. Common Stock,$8.36,-0.15,-1.763%,20720319.00,United States,,3235,Consumer Durables,Metal Fabrications
SYN,Synthetic Biologics Inc. Common Stock,$0.6503,-0.0697,-9.681%,85867262.00,United States,,5679727,Health Care,Major Pharmaceuticals
TGB,Taseko Mines Ltd. Common Stock,$2.40,0.03,1.266%,679653658.00,Canada,,1341207,Basic Industries,Precious Metals
THM,International Tower Hill Mines Ltd. Ordinary Shares (Canada),$1.06,-0.02,-1.852%,206602675.00,Canada,,115576,Basic Industries,Precious Metals
TKAT,Takung Art Co. Ltd. Common Stock,$20.50,1.56,8.237%,239078770.00,,,2241203,Consumer Services,Catalog/Specialty Distribution
TMBR,Timber Pharmaceuticals Inc. Common Stock,$1.31,0.04,3.15%,48264389.00,United States,2015,1342673,Health Care,Major Pharmaceuticals
TMP,Tompkins Financial Corporation Common Stock,$82.72,0.09,0.109%,1232944661.00,United States,,15805,Finance,Major Banks
TMQ,Trilogy Metals Inc. Common Stock,$2.86,-0.01,-0.348%,412677334.00,Canada,,86490,Basic Industries,Precious Metals
TPHS,Trinity Place Holdings Inc. Common Stock,$2.05,-0.02,-0.966%,66533914.00,,,96916,Consumer Services,Real Estate
TRT,Trio-Tech International Common Stock,$5.70,0.10,1.786%,22304414.00,United States,,170562,Technology,Industrial Machinery/Components
TRX,Tanzanian Gold Corporation Common Stock,$0.55,0.005,0.917%,140178806.00,Canada,,1257165,Basic Industries,Precious Metals
UAMY,United States Antimony Corporation Common Stock,$0.9374,-0.0104,-1.097%,99381230.00,United States,,1737546,,
UAVS,AgEagle Aerial Systems Inc. Common Stock,$5.81,0.30,5.445%,400635092.00,United States,,2414984,,
UEC,Uranium Energy Corp. Common Stock,$3.20,0.07,2.236%,746394874.00,Canada,,4437346,Basic Industries,Other Metals and Minerals
UFAB,Unique Fabricating Inc. Common Stock,$3.31,-0.04,-1.194%,32368977.00,United States,2015,13519,Capital Goods,Auto Parts:O.E.M.
URG,Ur Energy Inc Common Shares (Canada),$1.66,0.07,4.403%,314385906.00,Canada,,2479641,Basic Industries,Other Metals and Minerals
USAS,Americas Gold and Silver Corporation Common Shares no par value,$1.73,0.00,0.00%,230248210.00,,2017,1071318,Basic Industries,Precious Metals
UTG,Reaves Utility Income Fund Common Shares of Beneficial Interest,$35.23,0.03,0.085%,1962203196.00,United States,2004,125422,,
UUU,Universal Security Instruments Inc. Common Stock,$7.49,0.20,2.743%,17323524.00,United States,,53679,Miscellaneous,Diversified Manufacture
UUUU,Energy Fuels Inc Ordinary Shares (Canada),$7.03,0.12,1.737%,1032067685.00,,,2295308,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels)
VCF,Delaware Investments Colorado Municipal Income Fund Inc  Common Stock,$14.6401,0.00,0.00%,70815628.00,United States,1993,97,,
VFL,Delaware Investments National Municipal Income Fund Common Stock,$14.04,0.03,0.214%,63579340.00,United States,1993,3706,,
VGZ,Vista Gold Corp Common Stock,$1.19,0.00,0.00%,123937218.00,United States,,139948,Basic Industries,Precious Metals
VHAQ,Viveon Health Acquisition Corp. Common Stock,$9.93,-0.01,-0.101%,249801563.00,,2021,33921,,
VKI,Invesco Advantage Municipal Income Trust II Common Shares of Beneficial Interest (DE),$12.03,-0.12,-0.988%,534030359.00,United States,,91915,,
VMM,Delaware Investments Minnesota Municipal Income Fund II Inc. Common Stock,$13.94,0.01,0.072%,160379352.00,United States,1993,12691,,
VNRX,VolitionRX Limited Common Stock,$3.55,-0.03,-0.838%,187769131.00,Singapore,2015,82891,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
VOLT,Volt Information Sciences Inc. Common Stock,$3.79,0.04,1.067%,82381619.00,United States,,99841,Consumer Services,Movies/Entertainment
WLMS,Williams Industrial Services Group Inc. Common Stock,$6.20,-0.06,-0.958%,160555206.00,,2021,227531,Capital Goods,Oilfield Services/Equipment
WRN,Western Copper and Gold Corporation Common Stock,$2.38,-0.01,-0.418%,351302578.00,Canada,2011,482439,Basic Industries,Precious Metals
WTT,Wireless Telecom Group  Inc. Common Stock,$1.94,0.04,2.105%,42021017.00,United States,,72701,Capital Goods,Telecommunications Equipment
WWR,Westwater Resources Inc. Common Stock,$4.67,0.08,1.743%,151010591.00,United States,,889068,Basic Industries,Other Metals and Minerals
WYY,WidePoint Corporation Common Stock,$7.41,0.29,4.073%,67218718.00,United States,,68755,Technology,EDP Services
XPL,Solitario Zinc Corp. Common Stock,$0.7042,0.0104,1.499%,41145783.00,United States,,350358,,
XTNT,Xtant Medical Holdings Inc. Common Stock,$1.78,0.06,3.488%,154338969.00,United States,,89695,Health Care,Medical Specialities
XXII,22nd Century Group Inc. Common Stock,$4.79,0.17,3.68%,778694062.00,United States,,2111103,Consumer Non-Durables,Farming/Seeds/Milling
YCBD,cbdMD Inc. Common Stock,$3.40,0.10,3.03%,193733921.00,United States,2017,238278,Health Care,Major Pharmaceuticals
YCBD^A,cbdMD Inc. 8.0% Series A Cumulative Convertible Preferred Stock,$8.64,0.04,0.465%,,United States,,14994,,
ZDGE,Zedge Inc. Class B Common Stock ,$15.23,-0.12,-0.782%,206087806.00,,2016,561752,Technology,Computer Software: Prepackaged Software
ZOM,Zomedica Corp. Common Shares,$0.9466,0.0073,0.777%,922319790.00,United States,2017,21682034,,
