Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
ECF,Ellsworth Growth and Income Fund Ltd.,$14.40,0.13,0.911%,194392195.00,United States,1986,11739,,
ECF^A,Ellsworth Growth and Income Fund Ltd. 5.25% Series A Cumulative Preferred Shares (Liquidation Preference $25.00 per share),$26.08,-0.09,-0.344%,,United States,,3200,,
EIM,Eaton Vance Municipal Bond Fund Common Shares of Beneficial Interest $.01 par value,$13.64,0.04,0.294%,981441430.00,United States,2002,69709,,
ELA,Envela Corporation Common Stock,$5.83,0.45,8.364%,156969141.00,United States,,104721,Consumer Services,Consumer Specialties
ELLO,Ellomay Capital Ltd Ordinary Shares (Israel),$29.851,0.801,2.757%,383269735.00,Israel,,3296,Public Utilities,Electric Utilities: Central
ELMD,Electromed Inc. Common Stock,$10.86,-0.27,-2.426%,93802381.00,United States,2011,47618,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
EMAN,eMagin Corporation Common Stock,$3.44,0.06,1.775%,248611989.00,United States,,648055,Capital Goods,Industrial Machinery/Components
EMX,EMX Royalty Corporation Common Shares (Canada),$3.27,0.04,1.238%,280062904.00,Canada,,92268,Basic Industries,Precious Metals
ENSV,Enservco Corporation Common Stock,$1.59,0.17,11.972%,18178034.00,United States,,1215259,Energy,Oilfield Services/Equipment
ENX,Eaton Vance New York Municipal Bond Fund Common Shares of Beneficial Interest $.01 par value,$12.93,0.00,0.00%,234269541.00,United States,2002,19712,,
EPM,Evolution Petroleum Corporation Inc. Common Stock,$5.03,0.02,0.399%,168542484.00,United States,,222922,Energy,Oil & Gas Production
EQX,Equinox Gold Corp. Common Shares,$8.90,-0.11,-1.221%,2659991799.00,Canada,,821645,Basic Industries,Precious Metals
ERC,Wells Fargo Multi-Sector Income Fund Common Stock no par value,$12.87,-0.11,-0.847%,361229999.00,United States,2003,69793,,
ERH,Wells Fargo Utilities and High Income Fund,$14.65,-0.34,-2.268%,135971924.00,,2004,30755,,
ESP,Espey Mfg. & Electronics Corp. Common Stock,$15.33,0.00,0.00%,41431364.00,United States,,170,Capital Goods,Industrial Machinery/Components
EVBN,Evans Bancorp Inc. Common Stock,$38.74,0.13,0.337%,210497819.00,United States,,9649,Finance,Major Banks
EVI,EVI Industries Inc.  Common Stock,$32.60,-0.61,-1.837%,399616440.00,United States,,6087,Capital Goods,Industrial Machinery/Components
EVM,Eaton Vance California Municipal Bond Fund Common Shares of Beneficial Interest $.01 par value,$11.85,0.00,0.00%,296182917.00,United States,2002,40465,,
EVV,Eaton Vance Limited Duration Income Fund Common Shares of Beneficial Interest,$12.98,-0.05,-0.384%,1507588294.00,United States,2003,326178,,
EVY,Eaton Vance New York Municipal Income Trust Shares of Beneficial Interest,$15.05,0.06,0.40%,81297511.00,United States,1999,21656,,
EXN,Excellon Resources Inc. Common Shares,$2.83,0.00,0.00%,91642798.00,,2020,29349,Basic Industries,Precious Metals
FAX,Aberdeen Asia-Pacific Income Fund Inc Common Stock,$4.37,0.03,0.691%,1082430506.00,United States,1986,348695,,
FCO,Aberdeen Global Income Fund Inc. Common Stock,$8.71,0.06,0.694%,76093278.00,United States,1992,26286,,
FEN,First Trust Energy Income and Growth Fund,$15.22,0.05,0.33%,295961575.00,United States,2004,51944,,
FRD,Friedman Industries Inc. Common Stock,$13.45,-0.38,-2.748%,92883669.00,United States,,23176,Basic Industries,Steel/Iron Ore
FSI,Flexible Solutions International Inc. Common Stock (CDA),$3.59,0.05,1.412%,44213528.00,Canada,,29812,Capital Goods,Recreational Products/Toys
FSP,Franklin Street Properties Corp. Common Stock,$5.55,-0.05,-0.893%,595671504.00,United States,,203483,Consumer Services,Real Estate Investment Trusts
FTF,Franklin Limited Duration Income Trust Common Shares of Beneficial Interest,$9.21,-0.01,-0.108%,277578670.00,United States,2003,264941,,
FTSI,FTS International Inc. Class A Common Stock,$25.20,-0.53,-2.06%,352547244.00,United States,2020,61550,Energy,Oilfield Services/Equipment
FURY,Fury Gold Mines Limited Common Shares,$1.29,-0.02,-1.527%,152130646.00,,2020,216305,Basic Industries,Precious Metals
GAU,Galiano Gold Inc.,$1.23,-0.02,-1.60%,276347939.00,Canada,,644536,Basic Industries,Precious Metals
GBR,New Concept Energy Inc Common Stock,$4.91,0.23,4.915%,25197796.00,United States,,354558,Consumer Services,Real Estate
GDP,Goodrich Petroleum Corporation Common Stock,$12.16,0.41,3.489%,162971859.00,United States,2017,84976,Energy,Oil & Gas Production
GGN,GAMCO Global Gold Natural Resources & Income Trust,$4.16,-0.06,-1.422%,640557362.00,United States,2005,1984464,,
GGN^B,GAMCO Global Gold Natural Reources & Income Trust 5.00% Series B Cumulative 25.00 Liquidation Preference,$25.56,0.01,0.039%,,United States,,1368,,
GGO,The Gabelli Go Anywhere Trust Common Shares of Beneficial Interest,$16.3189,0.0546,0.336%,25244555.00,,2016,303,,
GGO^A,The Gabelli Go Anywhere Trust Series A Cumulative Puttable and Callable Preferred Shares,$40.79,0.011,0.027%,,,,415,,
GLDG,GoldMining Inc. Common Shares,$1.62,-0.04,-2.41%,242208436.00,,,214400,Basic Industries,Precious Metals
GLO,Clough Global Opportunities Fund Common Stock,$12.21,-0.05,-0.408%,393460071.00,United States,2006,176915,,
GLQ,Clough Global Equity Fund Clough Global Equity Fund Common Shares of Beneficial Interest,$15.08,0.23,1.549%,199520901.00,United States,2005,114838,,
GLU,Gabelli Global Utility Common Shares of Beneficial Ownership,$22.20,0.17,0.772%,119293432.00,United States,2004,5586,,
GLU^A,The Gabelli Global Utility and Income Trust Series A Cumulative Puttable and Callable Preferred Shares,$45.5965,0.00,0.00%,,United States,,57,,
GLV,Clough Global Dividend and Income Fund Common Shares of beneficial interest,$11.21,0.01,0.089%,94414588.00,United States,2004,47548,,
GOED,1847 Goedeker Inc. Commom Stock,$2.96,-0.08,-2.632%,305230121.00,United States,2020,9978414,Capital Goods,Recreational Products/Toys
GORO,Gold Resource Corporation Common Stock,$2.96,-0.01,-0.337%,220340047.00,United States,,959242,Basic Industries,Precious Metals
GPL,Great Panther Mining Limited Ordinary Shares (Canada),$0.7167,0.0022,0.308%,254715022.00,Canada,,2623649,Basic Industries,Precious Metals
