rank,name,ticker,mkt_cap
173,Celer Network,CELR,$198.10M
174,yOUcash,YOUC,$197.08M
175,Serum,SRM,$196.71M
176,Akash Network,AKT,$196.23M
177,Numeraire,NMR,$196.18M
178,Mixin,XIN,$191.89M
179,The Sandbox,SAND,$191.23M
180,SUN,SUN,$189.54M
181,Gemini Dollar,GUSD,$189.40M
182,Tribe,TRIBE,$187.30M
183,Orion Protocol,ORN,$186.96M
184,Perpetual Protocol,PERP,$183.41M
185,StormX,STMX,$181.80M
186,Civic,CVC,$179.84M
187,SingularityNET,AGI,$178.62M
188,Swipe,SXP,$178.58M
189,Alchemix,ALCX,$178.25M
190,Stratis,STRAX,$177.32M
191,Hifi Finance,MFT,$176.38M
192,Dawn Protocol,DAWN,$175.16M
193,Aragon,ANT,$175.09M
194,PAC Global,PAC,$175.08M
195,ZB Token,ZB,$173.69M
196,Alpha Finance Lab,ALPHA,$172.56M
197,Enzyme,MLN,$170.38M
198,Steem,STEEM,$170.23M
199,Ardor,ARDR,$168.49M
200,Phala Network,PHA,$164.26M
201,Balancer,BAL,$163.66M
202,Venus BTC,vBTC,$160.75M
203,Streamr,DATA,$160.63M
204,Unibright,UBT,$160.21M
205,MATH,MATH,$159.21M
206,Hxro,HXRO,$154.98M
207,Gitcoin,GTC,$153.82M
208,Ampleforth,AMPL,$153.81M
209,Velas,VLX,$153.12M
210,Orbs,ORBS,$152.11M
211,Haven Protocol,XHV,$149.28M
212,Hive,HIVE,$148.53M
213,Casper,CSPR,$146.93M
214,BitShares,BTS,$146.87M
215,DODO,DODO,$144.16M
216,Metal,MTL,$144.10M
217,Travala.com,AVA,$142.38M
218,COTI,COTI,$142.22M
219,KLAYswap Protocol,KSP,$141.90M
220,UTRUST,UTK,$141.56M
221,Ark,ARK,$141.29M
222,Komodo,KMD,$139.38M
223,JUST,JST,$137.94M
224,CRYPTO20,C20,$136.66M
225,Electroneum,ETN,$136.15M
226,Function X,FX,$136.14M
227,Automata Network,ATA,$135.38M
228,RSK Infrastructure Framework,RIF,$135.17M
229,Polymath,POLY,$134.61M
230,LockTrip,LOC,$134.49M
231,ZKSwap,ZKS,$134.14M
232,Alien Worlds,TLM,$133.70M
233,GNY,GNY,$131.77M
234,Strike,STRK,$131.22M
235,Everipedia,IQ,$130.20M
236,Sapphire,SAPP,$127.07M
237,Wanchain,WAN,$126.29M
238,MonaCoin,MONA,$125.62M
239,MediBloc,MED,$125.17M
240,Badger DAO,BADGER,$125.15M
241,TomoChain,TOMO,$124.89M
242,Audius,AUDIO,$122.80M
243,Newscrypto,NWC,$122.18M
244,MVL,MVL,$119.36M
245,Linear,LINA,$118.48M
246,RChain,REV,$118.34M
247,Ampleforth Governance Token,FORTH,$117.81M
248,Frax,FRAX,$117.19M
249,Divi,DIVI,$116.76M
250,XeniosCoin,XNC,$116.43M
251,Rocket Pool,RPL,$115.51M
252,OriginTrail,TRAC,$115.48M
253,CoinMetro Token,XCM,$114.28M
254,aelf,ELF,$114.12M
255,PAX Gold,PAXG,$113.49M
256,Venus XVS,vXVS,$112.04M
257,Bytom,BTM,$111.89M
258,CUMROCKET CRYPTO,CUMMIES,$111.43M
259,SafePal,SFP,$109.96M
260,Ultra,UOS,$109.38M
261,Sora,XOR,$108.28M
262,Radix,EXRD,$107.77M
263,MXC,MXC,$107.01M
264,Elitium,EUM,$104.88M
265,QuarkChain,QKC,$104.72M
